staff_id,password,company_code
Nhan_1,12345678,22101992
Nhan_2,12345678,22101992
Nhan_3,12345678,22101992
Nhan_4,12345678,22101992
Nhan_5,12345678,22101992
Nhan_7,12345678,22101992
Nhan_8,12345678,22101992
Nhan_10,12345678,22101992
Nhan_11,12345678,22101992
Nhan_12,12345678,22101992
Nhan_13,12345678,22101992
Nhan_14,12345678,22101992
Nhan_15,12345678,22101992
Nhan_16,12345678,22101992
Nhan_17,12345678,22101992
Nhan_18,12345678,22101992
Nhan_19,12345678,22101992
Nhan_20,12345678,22101992
Nhan_22,12345678,22101992
Nhan_23,12345678,22101992
Nhan_24,12345678,22101992
Nhan_25,12345678,22101992
Nhan_26,12345678,22101992
Nhan_27,12345678,22101992
Nhan_28,12345678,22101992
Nhan_29,12345678,22101992
Nhan_30,12345678,22101992
